URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount %,Discount offer,Discount price
https://www.myntra.com/tshirts/ether/ether-charcoal-grey-melange-lightweight-t-shirt/1217448/buy,1217448,ether,Western,tshirts,Women,ether charcoal grey melange lightweight t shirt,,799,"XS, S, M, L, XL",4.3,562,70,559,240
https://www.myntra.com/tshirts/chemistry/chemistry-women-black-printed-round-neck-pure-cotton-t-shirt/8227387/buy,8227387,Chemistry,Western,tshirts,Women,chemistry women black printed round neck pure cotton t shirt,,899,"XS, S, M, L, XL",3.9,562,55,494,405
https://www.myntra.com/tops/vishudh/vishudh-brown-checked-peplum-top/14370128/buy,14370128,Vishudh,Western,tops,Women,vishudh brown checked peplum top,,949,"S, M, L, XL",4.2,562,64,607,342
https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-tapered-fit-mid-rise-clean-look-stretchable-jeans/12358294/buy,12358294,Roadster,Bottom Wear,jeans,Men,roadster men blue slim tapered fit mid rise clean look stretchable jeans,899,1999,"28, 30, 32, 34, 36",3.5,561,55,1099,900
https://www.myntra.com/jeans/urbano-fashion/urbano-fashion-men-black-slim-fit-mid-rise-clean-look-acid-wash-stretchable-jogger-jeans/11968942/buy,11968942,Urbano Fashion,Bottom Wear,jeans,Men,urbano fashion men black slim fit mid rise clean look acid wash stretchable jogger jeans,935,1799,"28, 30, 32, 34, 36, 38, 40",4.1,561,48,863,935
https://www.myntra.com/trousers/highlander/highlander-men-blue-slim-fit-checked-regular-trousers/10359317/buy,10359317,HIGHLANDER,Bottom Wear,trousers,Men,highlander men blue slim fit checked regular trousers,619,1549,"30, 32, 34, 36",3.9,561,60,929,620
https://www.myntra.com/shirts/herenow/herenow-men-teal-blue--cream-coloured-slim-fit-tropical-printed-casual-shirt/11302044/buy,11302044,HERE&NOW,Indian Wear,shirts,Men,herenow men teal blue  cream coloured slim fit tropical printed casual shirt,612,1749,"38, 40, 42, 44, 46",4.2,561,65,1136,612
https://www.myntra.com/kurta-sets/anouk/anouk-men-black--charcoal-grey-woven-design-kurta-with-churidar/10354097/buy,10354097,Anouk,Indian Wear,kurta-sets,Men,anouk men black  charcoal grey woven design kurta with churidar,1359,3399,"S, M, L, XL, XXL",4.2,561,60,2039,1360
https://www.myntra.com/briefs/jockey/jockey-men-navy-blue-solid-pure-cotton-basic-briefs/15847858/buy,15847858,Jockey,Inner Wear &  Sleep Wear,briefs,Men,jockey men navy blue solid pure cotton basic briefs,,195,"S, M, L",4.5,561,31,60,135
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-men-navy-blue--white-conversational-printed-polo-collar-pure-cotton-t-shirt/11896592/buy,11896592,Mast & Harbour,Topwear,tshirts,Men,mast  harbour men navy blue  white conversational printed polo collar pure cotton t shirt,659,1199,"S, M, L, XL",4.1,561,45,539,659
